id ra dec zphot zspec f770w f1800w mstar_gal mstar_gal_l68 mstar_gal_u68 av_gal_1 av_gal_1_l68 av_gal_1_u68 av_gal_2 av_gal_2_l68 av_gal_2_u68 logLbol logLbol_l68 logLbol_u68 av_agn av_agn_l68 av_agn_u68 fhd fhd_l68 fhd_u68 mstar_hybrid mstar_hybrid_l68 mstar_hybrid_u68 av_hybrid av_hybrid_l68 av_hybrid_u68
UDS-13932 34.501483 -5.151208 2.59 -1.0 22.49 -23.13 10.34 10.25 10.44 0.0 0.0 0.0 4.0 3.92 4.09 46.11 46.09 46.12 4.59 4.51 4.63 0.0024 0.001 0.0039 8.43 8.17 8.67 1.42 1.32 1.48
UDS-14126 34.247823 -5.151952 7.39 -1.0 24.93 -23.31 9.85 9.74 9.97 0.2 0.06 0.41 2.85 2.67 3.01 46.24 46.18 46.3 3.56 3.42 3.7 0.0459 0.0143 0.0833 7.58 7.5 7.69 0.23 0.1 0.38
UDS-14305 34.404967 -5.152616 4.42 -1.0 25.15 -23.3 9.55 9.43 9.67 0.0 0.0 0.0 1.08 0.89 1.18 45.43 45.38 45.48 2.72 2.56 2.89 0.0589 0.0189 0.124 7.66 7.59 7.74 0.33 0.26 0.41
UDS-14388 34.262847 -5.152974 6.97 -1.0 25.81 -23.23 9.43 9.32 9.52 0.0 0.0 0.0 1.21 1.05 1.39 45.67 45.59 45.74 2.8 2.6 2.98 0.1484 0.038 0.3259 7.91 7.62 8.31 0.1 0.03 0.22
UDS-15912 34.425898 -5.159194 6.61 -1.0 25.18 -23.47 10.15 10.08 10.2 0.0 0.0 0.0 2.56 2.46 2.68 45.9 45.83 45.96 3.16 3.01 3.31 0.0663 0.0183 0.1258 8.21 7.93 8.4 0.25 0.08 0.52
UDS-17160 34.446115 -5.165109 8.14 -1.0 25.79 -23.23 9.31 9.16 9.46 0.0 0.0 0.0 1.07 0.93 1.2 45.56 45.46 45.65 1.79 1.59 2.01 0.4155 0.1262 0.7805 7.84 7.77 7.94 0.19 0.08 0.32
UDS-17818 34.346186 -5.168181 6.37 -1.0 24.86 -23.48 10.1 10.02 10.16 0.0 0.0 0.0 2.01 1.92 2.08 45.95 45.9 46.0 2.86 2.75 2.97 0.0363 0.0112 0.0736 8.18 7.95 8.54 0.8 0.66 0.94
UDS-33438 34.28364 -5.243915 3.82 -1.0 -25.85 -22.93 9.45 9.37 9.52 0.07 0.02 0.15 2.21 2.04 2.41 45.14 45.1 45.19 3.11 2.95 3.32 0.0039 0.001 0.0107 7.92 7.52 8.09 0.13 0.06 0.2
UDS-34633 34.230889 -5.24953 2.44 -1.0 23.28 21.94 9.51 9.39 9.67 0.3 0.17 0.47 6.93 6.82 6.98 45.39 45.35 45.42 4.47 4.27 4.6 0.224 0.1985 0.2541 7.71 7.4 7.94 0.18 0.06 0.34
UDS-34737 34.49297 -5.250066 3.22 2.81 22.28 22.04 9.89 9.76 10.11 1.9 1.76 1.97 5.63 5.4 5.83 46.01 45.98 46.04 4.0 3.87 4.14 0.1101 0.0957 0.1245 8.38 8.13 8.59 0.69 0.31 1.08
UDS-34815 34.514216 -5.250379 5.2 -1.0 23.97 -23.27 10.52 10.46 10.6 0.4 0.14 0.7 3.65 3.58 3.72 46.18 46.13 46.23 3.66 3.52 3.79 0.0134 0.0042 0.0243 7.47 7.36 7.59 0.37 0.22 0.54
UDS-34899 34.422285 -5.250725 5.77 -1.0 23.84 -23.39 10.2 10.07 10.41 0.03 0.01 0.06 3.2 3.14 3.25 46.31 46.27 46.35 3.71 3.6 3.83 0.0039 0.0011 0.0086 8.19 8.17 8.19 0.48 0.47 0.5
UDS-35121 34.407059 -5.251676 5.23 -1.0 25.21 -23.28 9.53 9.4 9.65 0.0 0.0 0.0 2.8 2.58 2.98 45.68 45.61 45.75 3.58 3.38 3.77 0.0728 0.0199 0.1558 7.27 7.19 7.35 0.38 0.25 0.52
UDS-38096 34.466076 -5.264787 6.4 -1.0 24.26 -23.31 10.28 10.17 10.38 0.0 0.0 0.0 2.66 2.38 2.81 46.22 46.18 46.27 3.32 3.21 3.45 0.0188 0.0061 0.0351 8.17 8.06 8.28 0.88 0.74 1.03
UDS-39469 34.453339 -5.270736 5.29 5.45 25.82 -23.73 9.43 9.23 9.61 0.09 0.02 0.21 2.73 2.48 3.0 45.39 45.3 45.48 3.24 2.97 3.5 0.1196 0.0358 0.2245 7.6 7.29 8.0 0.13 0.04 0.25
UDS-40579 34.304973 -5.275404 4.66 -1.0 25.49 -23.2 9.07 8.99 9.15 0.0 0.0 0.0 0.97 0.87 1.07 44.93 44.87 44.99 2.25 2.06 2.47 0.7087 0.5477 0.8519 7.43 7.37 7.49 0.28 0.2 0.37
UDS-40898 34.391916 -5.27694 5.47 -1.0 23.76 -23.47 10.36 10.19 10.48 0.17 0.05 0.35 2.38 2.33 2.42 46.23 46.21 46.25 2.87 2.81 2.94 0.0016 0.0004 0.0038 7.87 7.84 7.9 0.37 0.33 0.42
UDS-41039 34.398885 -5.277552 4.69 -1.0 24.56 -23.82 10.4 10.33 10.46 0.2 0.05 0.47 3.94 3.88 4.02 45.92 45.88 45.97 3.84 3.67 4.0 0.0131 0.0042 0.0228 8.06 7.78 8.24 0.09 0.02 0.23
UDS-44702 34.420911 -5.296178 4.63 -1.0 23.23 22.57 10.76 10.67 10.83 0.25 0.1 0.42 3.76 3.51 3.99 46.34 46.29 46.38 3.62 3.46 3.78 0.0336 0.0237 0.0445 8.39 8.16 8.58 0.1 0.03 0.18
UDS-44877 34.306548 -5.297159 2.8 -1.0 22.0 -23.43 10.88 10.83 10.91 0.0 0.0 0.0 2.87 2.76 2.98 46.35 46.33 46.37 3.97 3.89 4.05 0.0002 0.0001 0.0006 9.71 9.6 9.81 1.42 1.29 1.48
UDS-46014 34.246434 -5.303368 4.72 -1.0 25.29 -23.43 9.84 9.76 9.89 0.18 0.05 0.52 1.79 1.61 1.98 45.5 45.45 45.56 2.81 2.62 3.03 0.0414 0.0117 0.0955 8.31 8.06 8.47 0.08 0.02 0.18
UDS-60251 34.4379 -5.299977 7.42 -1.0 25.99 -23.17 9.06 8.83 9.28 0.0 0.0 0.0 2.07 1.85 2.28 45.65 45.54 45.74 3.09 2.84 3.34 0.3562 0.1168 0.6341 7.26 7.11 7.56 0.24 0.07 0.5
UDS-62612 34.283372 -5.296272 7.42 -1.0 29.7 -23.26 8.2 8.05 8.39 0.0 0.0 0.0 0.86 0.75 1.0 45.29 45.2 45.38 1.91 1.7 2.14 0.2939 0.0797 0.7658 7.53 7.44 7.7 0.17 0.05 0.39
UDS-66751 34.254151 -5.290015 10.54 -1.0 25.25 -23.17 10.08 9.96 10.19 0.0 0.0 0.0 1.92 1.75 2.07 46.14 46.04 46.24 2.47 2.29 2.65 0.5057 0.1838 0.8746 8.91 8.65 9.14 0.68 0.39 0.99
UDS-68913 34.47826 -5.28685 7.39 7.21 25.68 -23.34 10.26 10.13 10.4 1.83 1.57 1.95 6.44 6.12 6.75 46.0 45.9 46.08 4.25 4.0 4.46 0.1345 0.0435 0.2263 7.58 7.07 8.07 0.45 0.13 0.95
UDS-72386 34.330303 -5.281233 8.89 8.56 -26.12 -22.51 9.78 9.63 9.89 0.11 0.03 0.25 2.69 2.46 2.95 45.53 45.48 45.57 2.49 2.36 2.63 0.5961 0.1665 1.1779 7.92 7.89 7.98 0.41 0.34 0.49
UDS-75424 34.374826 -5.27553 5.17 5.13 25.31 -23.03 10.03 9.68 10.23 0.59 0.31 0.86 6.05 4.88 6.73 45.05 44.84 45.3 3.47 2.87 4.19 0.6439 0.2641 1.1125 8.01 7.77 8.19 0.26 0.09 0.49
UDS-76730 34.407514 -5.273147 5.2 -1.0 24.97 -22.96 10.44 10.4 10.47 0.54 0.39 0.7 6.96 6.92 6.99 45.56 45.43 45.63 4.42 4.07 4.59 0.3848 0.296 0.5152 7.72 7.36 7.94 0.13 0.04 0.3
UDS-77750 34.243692 -5.271402 6.97 6.93 25.46 -23.18 9.96 9.87 10.05 0.0 0.0 0.0 2.95 2.79 3.12 45.89 45.82 45.96 3.49 3.29 3.68 0.1334 0.039 0.251 7.84 7.42 8.12 0.25 0.07 0.67
UDS-78549 34.395652 -5.270093 6.13 -1.0 26.46 -23.19 8.9 8.5 9.09 0.0 0.0 0.0 0.52 0.39 0.94 45.29 45.15 45.43 3.21 2.87 3.57 0.3502 0.0979 0.6849 8.08 7.79 8.27 0.12 0.04 0.23
UDS-81578 34.244798 -5.265006 4.72 -1.0 25.71 -23.36 9.01 8.87 9.14 0.0 0.0 0.0 1.92 1.58 2.26 44.65 44.56 44.73 2.04 1.79 2.33 1.153 0.7698 1.3976 6.3 4.23 7.51 0.76 0.24 1.27
UDS-81866 34.352438 -5.264601 7.42 7.12 -26.49 -23.65 8.51 8.44 8.62 0.0 0.0 0.0 1.86 1.77 1.95 45.13 45.08 45.17 2.06 1.9 2.21 0.3288 0.0973 0.8007 7.18 7.15 7.21 0.08 0.02 0.18
UDS-84401 34.363537 -5.260795 5.47 5.54 25.27 -23.53 10.44 10.33 10.59 1.46 1.19 1.73 6.86 6.71 6.97 45.71 45.59 45.8 4.23 3.9 4.49 0.1004 0.0361 0.1716 8.02 7.71 8.24 0.38 0.14 0.69
UDS-144265 34.456946 -5.160894 6.19 -1.0 25.94 -23.3 9.59 9.43 9.73 0.0 0.0 0.0 3.12 2.77 3.44 45.37 45.16 45.55 3.42 2.91 3.93 0.4429 0.1645 0.7989 6.89 4.5 7.76 0.66 0.2 1.24
